id,question,url,reason


4-4,"Después de adelantar al camión, ¿debe regresar inmediatamente al carril de la derecha si pretende seguir adelantando?",https://www.todotest.com/tests/imgs/0047.jpg,a_visual_noun_plus_ref
4-5,"A partir de la señal que se muestra en la imagen, ¿qué limitaciones existen para los turismos?",https://www.todotest.com/tests/imgs/s21a.jpg,q_image_like|q_shown_appears|q_sign_or_marking_desc
4-8,"Un peatón que empuja un vehículo de dos ruedas, ¿por dónde está obligado a circular?",https://www.todotest.com/tests/imgs/0839.jpg,a_visual_noun_plus_ref
4-10,"El vehículo que se observa en la parte derecha de la fotografía, ¿está correctamente estacionado?",https://www.todotest.com/tests/imgs/0054.jpg,q_image_like|q_shown_appears
4-11,¿Qué significa esta señal?,https://www.todotest.com/tests/imgs/s60b.jpg,q_sign_like|a_visual_noun_plus_ref|q_sign_or_marking_desc
4-14,"Situado en un vehículo, ¿qué identifica la señal V-25 Distintivo ambiental?",https://www.todotest.com/tests/imgs/1950.jpg,q_sign_or_marking_desc
4-27,¿Qué indica la señalización de este vehículo?,https://www.todotest.com/tests/imgs/0051.jpg,q_deictic_vehicle|q_sign_or_marking_desc
4-28,En esta calle no hay señal de limitación de velocidad. ¿A qué velocidad máxima se puede circular?,https://www.todotest.com/tests/imgs/0052.jpg,q_sign_or_marking_desc
4-29,Esta señal indica...,https://www.todotest.com/tests/imgs/r3.jpg,q_sign_like|q_sign_or_marking_desc
5-2,"¿Qué función tienen las guías sonoras situadas en el borde derecho de la calzada, ubicadas normalmente en el arcén coincidiendo con la marca vial que delimita el carril derecho?",https://www.todotest.com/tests/imgs/1970.jpg,q_sign_or_marking_desc|q_marking_hard
5-8,¿Qué indica la señal de la imagen?,https://www.todotest.com/tests/imgs/1975.jpg,q_image_like|q_sign_or_marking_desc
5-21,Conduce un turismo con un remolque de un solo eje. ¿Le afecta esta señal?,https://www.todotest.com/tests/imgs/r112.jpg,q_sign_like|q_sign_or_marking_desc
5-22,"A partir de la señal, ¿cuál es la velocidad máxima en una vía con tres carriles por sentido?",https://www.todotest.com/tests/imgs/s500_2.jpg,q_sign_or_marking_desc
6-9,¿Qué significa esta señal?,https://www.todotest.com/tests/imgs/s3.jpg,q_sign_like|q_sign_or_marking_desc
6-13,¿Cuándo está permitido utilizar las señales acústicas?,https://www.todotest.com/tests/imgs/0084.jpg,q_sign_or_marking_desc
6-16,"En un paso a nivel, ¿qué debe hacer si la barrera está subiendo?",https://www.todotest.com/tests/imgs/0366.jpg,a_visual_noun_plus_ref
6-30,"En un tramo recto, de noche, sin condiciones atmosféricas adversas, ¿es correcto el alumbrado que lleva encendido este vehículo?",https://www.todotest.com/tests/imgs/0076.jpg,q_deictic_vehicle
7-3,¿Qué indica esta señal?,https://www.todotest.com/tests/imgs/p15.jpg,q_sign_like|q_sign_or_marking_desc
7-4,"El tractor agrícola de la fotografía, de MMA inferior a 3500 kg., ¿circula correctamente?",https://www.todotest.com/tests/imgs/0086.jpg,q_image_like
7-8,¿Qué indica esta señal?,https://www.todotest.com/tests/imgs/r309.jpg,q_sign_like|q_sign_or_marking_desc
